target_text,input_text
zero,0ero
zero,zero
zero,zero
zero,z room ero
"four lakh, twenty-eight thousand, seven hundred and twenty-eight","four lakh, twenty-eight thousand, eeven hundred and twenty-eight"
"four lakh, twenty-eight thousand, seven hundred and twenty-eight","four lakh, twenty-eight thousand, seven hunderd and twenty-eight"
"four lakh, twenty-eight thousand, seven hundred and twenty-eight","four lakh, twenty-eight thousand, seven hundred & twenty-eight"
"four lakh, twenty-eight thousand, seven hundred and twenty-eight","four lakh, twe others nty-eight thousand, seven hundred and twenty-eight"
"thirteen lakh, forty thousand, two hundred and seventy","thirteen lakh, forty thousand, two hundred andiseventy"
"thirteen lakh, forty thousand, two hundred and seventy","thirteen lakh, forty thousand, two hundred and seventy"
"thirteen lakh, forty thousand, two hundred and seventy","thirteen lakh, forty thousand, two hundred & seventy"
"thirteen lakh, forty thousand, two hundred and seventy","thirteen lakh, forty thousand, two hundred and seventy how "
"eighteen lakh, seventy thousand, four hundred and ninety","eigoteen lakh, seventy thousand, four hundred and ninety"
"eighteen lakh, seventy thousand, four hundred and ninety","eighteen lakh, seventy thousand, four hundred and ninetys"
"eighteen lakh, seventy thousand, four hundred and ninety","eighteenlakh,seventythousand,fourhundredandninety"
"eighteen lakh, seventy thousand, four hundred and ninety","eig third hteen lakh, seventy thousand, four hundred and ninety"
"twenty-two lakh, ninety-six thousand, one hundred and twenty-two","twenty-two lakh, ninety-six thousand, one hundred and twenty-two"
"twenty-two lakh, ninety-six thousand, one hundred and twenty-two","twenty-two lakh, ninety-six thousand, one hundred and twenty-twos"
"twenty-two lakh, ninety-six thousand, one hundred and twenty-two","twenty-twolakh,ninety-sixthousand,onehundredandtwenty-two"
"twenty-two lakh, ninety-six thousand, one hundred and twenty-two","twenty-two lakh, ninety-six thousa air nd, one hundred and twenty-two"
"thirty-two lakh, eighty-five thousand, eight hundred and eighty-two","thirty-two lakh, eighty-five thousand, eight hundred and eight1-two"
"thirty-two lakh, eighty-five thousand, eight hundred and eighty-two","thirty-two lakh, eighty-five thousand, eight hundred and eighty-twos"
"thirty-two lakh, eighty-five thousand, eight hundred and eighty-two","thirty-twolakh,eighty-fivethousand,eighthundredandeighty-two"
"thirty-two lakh, eighty-five thousand, eight hundred and eighty-two","thirty-two lakh, eighty-five thousand, ei worker ght hundred and eighty-two"
"thirty-eight lakh, seventy-four thousand, three hundred and fifty-eight","thirty-eight laoh, seventy-four thousand, three hundred and fifty-eight"
"thirty-eight lakh, seventy-four thousand, three hundred and fifty-eight","thirty-eight lakh, seventy-four thousand, three hundred and fifty-eight"
"thirty-eight lakh, seventy-four thousand, three hundred and fifty-eight","thirty-eight lakh, seventy-four thousand, three hundred & fifty-eight"
"thirty-eight lakh, seventy-four thousand, three hundred and fifty-eight","thirty-eight lakh, lawyer  seventy-four thousand, three hundred and fifty-eight"
"forty-seven lakh, ninety-one thousand, nine hundred and seventy-seven","forty-seven lakh, ninety-one thousand, nineahundred and seventy-seven"
"forty-seven lakh, ninety-one thousand, nine hundred and seventy-seven","forty-seven lakh, ninety-one thousand, nine hundred and seventy-sevens"
"forty-seven lakh, ninety-one thousand, nine hundred and seventy-seven","forty-seven lakh, ninety-one thousand, nine hundred & seventy-seven"
"forty-seven lakh, ninety-one thousand, nine hundred and seventy-seven","for speech ty-seven lakh, ninety-one thousand, nine hundred and seventy-seven"
"fifty lakh, ninety-two thousand, two hundred and eighty","fifty lakh, ninety-two thousand, two hundred and eigh1y"
